Restaurant Name,Google Score,Number of Reviews,Municipality,Address,Lat/Long,Specialty Cuisine
José Ramón 277: Chopería & Sanguchería,4.5,3249,San Ramón,"José Ramón Gutiérrez 277, 8320162 Santiago, Región Metropolitana, Chile","-33.4393379, -70.6406911","establishment, food, point_of_interest, restaurant"
La Mar,4.6,3108,Vitacura,"Av. Nueva Costanera 4076, 7630191 Vitacura, Región Metropolitana, Chile","-33.395535, -70.59765999999999","establishment, food, point_of_interest, restaurant"
Piegari Chile,4.7,2819,Vitacura,"Av. Nueva Costanera 4092, 7630191 Vitacura, Región Metropolitana, Chile","-33.3954005, -70.5975267","establishment, food, point_of_interest, restaurant"
Tanaka,4.5,1098,Vitacura,"Alonso de Córdova 4248, 7630504 Santiago, Vitacura, Región Metropolitana, Chile","-33.4030473, -70.58868919999999","establishment, food, point_of_interest, restaurant"
Rishtedar Vitacura,4.6,1794,Vitacura,"Av Vitacura 5461, 7630598 Vitacura, Región Metropolitana, Chile","-33.3950354, -70.5790121","establishment, food, point_of_interest, restaurant"
Rubaiyat,4.5,1482,Vitacura,"Av. Nueva Costanera 4031, 7630244 Vitacura, Región Metropolitana, Chile","-33.3963918, -70.5970912","establishment, food, point_of_interest, restaurant"
Panchita,4.5,1752,Vitacura,"Av. Nueva Costanera 3979, 7630268 Vitacura, Región Metropolitana, Chile","-33.397429, -70.59734999999999","establishment, food, point_of_interest, restaurant"
Arca Bar,4.7,1167,Vitacura,"Av. Nueva Costanera 3986, 7630000 Vitacura, Región Metropolitana, Chile","-33.3972025, -70.59793100000002","bar, establishment, food, point_of_interest, restaurant"
BordeRío,4.6,7322,Vitacura,"Costanera Sur S.J.E. de Balaguer 6400, 7640859 Vitacura, Región Metropolitana, Chile","-33.3815722, -70.5792292","bar, establishment, food, point_of_interest, restaurant"
La Bottega Gandolini,4.6,524,Vitacura,"Alonso de Córdova 2335, 7560873 Vitacura, Región Metropolitana, Chile","-33.4015235, -70.5941925","bar, cafe, establishment, food, point_of_interest, restaurant, store"
Restaurant Bidasoa,4.7,961,Vitacura,"Av Vitacura 4873, Santiago, Vitacura, Región Metropolitana, Chile","-33.39839800000001, -70.5852397","establishment, food, point_of_interest, restaurant"
La Maestranza Sandwich & Burger Bar,4.5,3087,Vitacura,"Av Vitacura 5468, 7630628 Vitacura, Región Metropolitana, Chile","-33.394598, -70.5791785","establishment, food, point_of_interest, restaurant"
Restaurant Fortaleza Peruana,4.5,1639,Puente Alto,"Balmaceda 197, parad.40, 8180915 Puente Alto, Región Metropolitana, Chile","-33.6099147, -70.5748449","establishment, food, point_of_interest, restaurant"
Maria Morena,4.6,502,Puente Alto,"Av. Concha y Toro 1060, 8167353 Puente Alto, Región Metropolitana, Chile","-33.6009159, -70.5789866","establishment, food, point_of_interest, restaurant"
Restaurant Peruano Limon Y Mar,4.6,1197,Puente Alto,"Av. Camilo Henríquez 4791, 8170151 Puente Alto, Región Metropolitana, Chile","-33.5524954, -70.5637059","establishment, food, point_of_interest, restaurant"
Joker Restaurante & bar karaoke,4.9,589,San Bernardo,"O'Higgins 279, 8071077 San Bernardo, Región Metropolitana, Chile","-33.5927133, -70.70070799999999","establishment, food, meal_takeaway, point_of_interest, restaurant, store"
